#Timestep exx eyy ezz sxx syy szz sxy sxz syz sxx1 lz pxx
100000 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00144099148686847 9.251269560161e-05 0.000961164684014419 -2.04540228390746e-05 0.00197562476686959 -0.000180624186106972 1.30999122927085 110.000086616651 0.0144099148686846
100100 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.0031208775727267 0.000802758700088398 0.00243560195901568 -0.00538640135837576 0.00102238022096474 -4.30255011498365e-05 2.83715919570402 110.000086616651 0.0312087757272663
100200 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00533868413859365 -0.00312079080831172 -0.00450057371641425 -0.0107527451553673 -0.000701488418407901 8.51927760245426e-05 -4.85334539526219 110.000086616651 -0.0533868413859375
100300 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00531693053238281 0.00187196267630532 0.00421300895931376 -0.0161977847165126 -0.00182945054529108 0.000159636881288452 4.83356940518806 110.000086616651 0.0531693053238275
100400 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00207643444660429 -0.00144091942992346 -0.00189212601819497 -0.0216300069912613 -0.00166747297516017 0.000257144418533424 -1.88766619233732 110.000086616651 -0.0207643444660428
100500 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00161525098228392 -0.00126359023054737 -0.00156653078361396 -0.0270071228180568 -0.000273932492175525 0.000317595338107712 -1.46840882763397 110.000086616651 -0.0161525098228397
100600 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00527052632972221 0.00178545594216991 0.00411755274230854 -0.0324543209552826 0.00131901187468157 0.000444020731298264 4.79138379962366 110.000086616651 0.0527052632972222
100700 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 -0.00545834095557097 -0.0029710134604304 -0.00462751979432273 -0.0379310440167922 0.0019224879857553 0.0005716368206213 -4.96212423413195 110.000086616651 -0.0545834095557105
100800 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00349989120096193 0.00125894913381377 0.00267553162631091 -0.0433014629038554 0.00110658929773044 0.000718131117416302 3.18171676824129 110.000086616651 0.0349989120096198
100900 -2.91672860531365e-16 -1.46745470578815e-16 -3.87568459779309e-16 0.00107129361689696 0.000324921661792458 0.000670009951386824 -0.0487352574944485 -0.000454861637838079 0.00076196413536085 0.973902521213828 110.000086616651 0.0107129361689696
