# Lammps sturcture data file
# ntot =         4080
        4080   atoms
           8 atom types

          0.00000000         97.44400000   xlo xhi
          0.00000000         96.84000000   ylo yhi
          0.00000000        110.00000000   zlo zhi

Atoms

         118           6          1.73300001         47.91300001         56.21100001
         119           7          3.16600001         47.10600001         55.30000001
         120           8          4.59900001         47.91300001         56.21100001
         121           1          0.30000001         48.72000001         55.30000001
         122           2          1.73300001         49.52700001         56.21100001
         123           3          3.16600001         48.72000001         55.30000001
         124           4          4.59900001         49.52700001         56.21100001
         125           5          0.30000001         50.33400001         55.30000001
         126           6          1.73300001         51.14100001         56.21100001
         127           7          3.16600001         50.33400001         55.30000001
         128           8          4.59900001         51.14100001         56.21100001
         129           1          0.30000001         51.94800001         55.30000001
         130           2          1.73300001         52.75500001         56.21100001
         131           3          3.16600001         51.94800001         55.30000001
         132           4          4.59900001         52.75500001         56.21100001
         133           5          0.30000001         53.56200001         55.30000001
         134           6          1.73300001         54.36900001         56.21100001
         135           7          3.16600001         53.56200001         55.30000001
         136           8          4.59900001         54.36900001         56.21100001
         137           1          0.30000001         55.17600001         55.30000001
         138           2          1.73300001         55.98300001         56.21100001
         139           3          3.16600001         55.17600001         55.30000001
         140           4          4.59900001         55.98300001         56.21100001
         141           5          0.30000001         56.79000001         55.30000001
         142           6          1.73300001         57.59700001         56.21100001
         143           7          3.16600001         56.79000001         55.30000001
         144           8          4.59900001         57.59700001         56.21100001
         145           1          0.30000001         58.40400001         55.30000001
         146           2          1.73300001         59.21100001         56.21100001
         147           3          3.16600001         58.40400001         55.30000001
         148           4          4.59900001         59.21100001         56.21100001
         149           5          0.30000001         60.01800001         55.30000001
         150           6          1.73300001         60.82500001         56.21100001
         151           7          3.16600001         60.01800001         55.30000001
         152           8          4.59900001         60.82500001         56.21100001
         153           1          0.30000001         61.63200001         55.30000001
         154           2          1.73300001         62.43900001         56.21100001
         155           3          3.16600001         61.63200001         55.30000001
         156           4          4.59900001         62.43900001         56.21100001
         157           5          0.30000001         63.24600001         55.30000001
         158           6          1.73300001         64.05300001         56.21100001
         159           7          3.16600001         63.24600001         55.30000001
         160           8          4.59900001         64.05300001         56.21100001
         161           1          0.30000001         64.86000001         55.30000001
         162           2          1.73300001         65.66700001         56.21100001
         163           3          3.16600001         64.86000001         55.30000001
         164           4          4.59900001         65.66700001         56.21100001
         165           5          0.30000001         66.47400001         55.30000001
         166           6          1.73300001         67.28100001         56.21100001
         167           7          3.16600001         66.47400001         55.30000001
         168           8          4.59900001         67.28100001         56.21100001
